Datetimetry,Zone_ID,Datetime,Open,High,Low,Close,Volume,MA_10
2022-5-10 18,SUPPORT_107,5/10/2022 18:00,160.324,160.499,160.173,160.321,9738,160.448
2022-5-10 19,SUPPORT_107,5/10/2022 19:00,160.32,160.43,160.07,160.321,7692,160.3756
2022-5-11 02,SUPPORT_108,5/11/2022 2:00,160.516,160.555,160.367,160.435,1917,160.4853
2022-5-11 03,SUPPORT_108,5/11/2022 3:00,160.433,160.647,160.375,160.532,4460,160.506
2022-5-11 10,SUPPORT_109,5/11/2022 10:00,160.649,160.68,160.199,160.441,6893,160.6405
2022-5-11 11,SUPPORT_109,5/11/2022 11:00,160.438,160.69,160.382,160.66,6738,160.6561
2022-5-11 13,SUPPORT_110,5/11/2022 13:00,160.556,160.659,160.134,160.213,4876,160.6363
2022-5-11 14,SUPPORT_110,5/11/2022 14:00,160.221,160.401,159.9,160.395,5946,160.6064
2022-5-11 20,SUPPORT_111,5/11/2022 20:00,159.672,159.672,158.828,158.924,8418,160.3417
2022-5-11 21,SUPPORT_111,5/11/2022 21:00,158.92,159.47,158.915,159.191,7708,160.1948
2022-5-12 02,SUPPORT_112,5/12/2022 2:00,159.091,159.134,158.793,158.834,2563,159.4188
2022-5-12 03,SUPPORT_112,5/12/2022 3:00,158.833,158.897,158.345,158.849,9224,159.2315
2022-5-12 11,SUPPORT_113,5/12/2022 11:00,157.179,157.253,156.559,156.559,10914,158.1983
2022-5-12 12,SUPPORT_113,5/12/2022 12:00,156.564,157.012,156.404,156.871,9009,158.002
2022-5-12 16,SUPPORT_114,5/12/2022 16:00,156.642,156.896,155.59,156.161,11866,157.1545
2022-5-12 17,SUPPORT_114,5/12/2022 17:00,156.153,156.803,155.815,156.645,12058,156.9761
2022-5-12 21,SUPPORT_115,5/12/2022 21:00,156.326,156.476,155.918,155.951,6124,156.5155
2022-5-12 22,SUPPORT_115,5/12/2022 22:00,155.953,156.616,155.952,156.601,6537,156.4885
2022-5-13 09,SUPPORT_116,5/13/2022 9:00,157.557,157.565,157.014,157.185,6657,157.2354
2022-5-13 10,SUPPORT_116,5/13/2022 10:00,157.186,157.643,156.791,157.346,9758,157.3121
2022-5-13 15,SUPPORT_117,5/13/2022 15:00,157.326,157.451,157.025,157.378,6501,157.3482
2022-5-13 16,SUPPORT_117,5/13/2022 16:00,157.381,157.521,156.921,157.411,9232,157.3194
2022-5-13 20,SUPPORT_118,5/13/2022 20:00,158.286,158.456,158.114,158.164,3895,157.6224
2022-5-13 21,SUPPORT_118,5/13/2022 21:00,158.166,158.346,157.986,158.327,4551,157.7347
2022-5-16 06,SUPPORT_119,5/16/2022 6:00,157.999,158.067,157.454,157.727,5248,158.3551
2022-5-16 07,SUPPORT_119,5/16/2022 7:00,157.727,157.947,157.672,157.907,2930,158.3131
2022-5-16 09,SUPPORT_120,5/16/2022 9:00,157.955,158.063,157.493,157.56,5946,158.1906
2022-5-16 10,SUPPORT_120,5/16/2022 10:00,157.563,158.387,157.421,158.055,8835,158.1562
2022-5-16 16,SUPPORT_121,5/16/2022 16:00,158.425,158.484,157.893,157.998,8395,158.166
2022-5-16 17,SUPPORT_121,5/16/2022 17:00,157.998,158.457,157.937,158.121,8740,158.1874
2022-5-17 02,SUPPORT_122,5/17/2022 2:00,158.983,159.033,158.78,158.93,1750,158.7668
2022-5-17 03,SUPPORT_122,5/17/2022 3:00,158.929,159.476,158.853,159.288,5060,158.8835
2022-5-17 17,SUPPORT_123,5/17/2022 17:00,161.666,161.718,160.796,161.211,8573,161.0224
2022-5-17 18,SUPPORT_123,5/17/2022 18:00,161.211,161.421,161.115,161.24,4883,161.1781
2022-5-17 20,SUPPORT_124,5/17/2022 20:00,161.431,161.487,161.296,161.298,2611,161.369
2022-5-17 21,SUPPORT_124,5/17/2022 21:00,161.297,161.54,161.037,161.507,9607,161.3804
2022-5-18 11,SUPPORT_125,5/18/2022 11:00,160.295,160.464,159.851,159.892,5461,160.9753
2022-5-18 12,SUPPORT_125,5/18/2022 12:00,159.89,160.302,159.868,160.279,4312,160.843
2022-5-19 02,SUPPORT_126,5/19/2022 2:00,158.492,158.596,157.884,157.907,4308,158.4751
2022-5-19 03,SUPPORT_126,5/19/2022 3:00,157.908,158.772,157.881,158.562,7032,158.3854
2022-5-19 12,SUPPORT_127,5/19/2022 12:00,158.42,158.479,158.043,158.213,7277,158.8448
2022-5-19 13,SUPPORT_127,5/19/2022 13:00,158.214,158.822,158.214,158.687,7019,158.8573
2022-5-19 15,SUPPORT_128,5/19/2022 15:00,159.036,159.069,157.869,158.068,9422,158.7937
2022-5-19 16,SUPPORT_128,5/19/2022 16:00,158.068,159.002,158.014,158.836,12157,158.7342
2022-5-20 03,SUPPORT_129,5/20/2022 3:00,159.329,159.434,159.075,159.234,5037,159.4167
2022-5-20 04,SUPPORT_129,5/20/2022 4:00,159.233,159.804,159.102,159.572,5673,159.4172
2022-5-20 06,SUPPORT_130,5/20/2022 6:00,159.361,159.366,158.722,158.846,6379,159.3287
2022-5-20 07,SUPPORT_130,5/20/2022 7:00,158.84,159.154,158.76,159.118,4748,159.2786
2022-5-20 15,SUPPORT_131,5/20/2022 15:00,159.643,159.741,159.363,159.449,7591,159.499
2022-5-20 16,SUPPORT_131,5/20/2022 16:00,159.449,160.056,159.383,160.004,9767,159.6148
2022-5-20 19,SUPPORT_132,5/20/2022 19:00,159.703,159.738,159.182,159.26,8114,159.6826
2022-5-20 20,SUPPORT_132,5/20/2022 20:00,159.26,159.518,159.083,159.456,6531,159.6701
2022-5-23 04,SUPPORT_133,5/23/2022 4:00,159.96,160.141,159.555,159.632,5908,159.666
2022-5-23 05,SUPPORT_133,5/23/2022 5:00,159.63,159.733,159.397,159.722,5630,159.7122
2022-5-23 16,SUPPORT_134,5/23/2022 16:00,160.633,160.747,160.169,160.531,6855,160.3769
2022-5-23 17,SUPPORT_134,5/23/2022 17:00,160.531,160.592,160.273,160.464,8469,160.437
2022-5-24 03,SUPPORT_135,5/24/2022 3:00,160.611,160.616,160.298,160.498,4628,160.7527
2022-5-24 04,SUPPORT_135,5/24/2022 4:00,160.5,160.841,160.305,160.671,5675,160.7555
2022-5-24 07,SUPPORT_136,5/24/2022 7:00,160.555,160.557,160.256,160.329,3146,160.6697
2022-5-24 08,SUPPORT_136,5/24/2022 8:00,160.329,160.496,160.262,160.433,4237,160.6266
2022-5-24 12,SUPPORT_137,5/24/2022 12:00,159.104,159.27,158.733,159.063,6221,160.1781
2022-5-24 13,SUPPORT_137,5/24/2022 13:00,159.062,159.646,159,159.444,5273,160.0727
2022-5-24 17,SUPPORT_138,5/24/2022 17:00,158.499,158.5,157.977,158.43,12472,159.3756
2022-5-24 18,SUPPORT_138,5/24/2022 18:00,158.433,158.798,158.282,158.725,9006,159.2048
2022-5-25 04,SUPPORT_139,5/25/2022 4:00,158.967,159.091,158.777,158.834,7105,158.8833
2022-5-25 05,SUPPORT_139,5/25/2022 5:00,158.834,159.109,158.83,159.084,6349,158.9275
2022-5-25 14,SUPPORT_140,5/25/2022 14:00,158.772,158.921,158.383,158.594,6570,159.0889
2022-5-25 15,SUPPORT_140,5/25/2022 15:00,158.594,158.853,158.399,158.816,7639,159.0621
2022-5-26 00,SUPPORT_141,5/26/2022 0:00,160.038,160.06,159.944,160.006,293,159.7506
2022-5-26 01,SUPPORT_141,5/26/2022 1:00,160.008,160.217,159.989,160.145,1369,159.8835
2022-5-26 11,SUPPORT_142,5/26/2022 11:00,159.335,159.404,159.094,159.159,6779,159.965
2022-5-26 12,SUPPORT_142,5/26/2022 12:00,159.157,159.81,159.008,159.803,5916,159.9426
2022-5-27 00,SUPPORT_143,5/27/2022 0:00,160.129,160.248,159.862,160.127,2182,160.0395
2022-5-27 01,SUPPORT_143,5/27/2022 1:00,160.121,160.295,160.089,160.142,994,160.0763
2022-5-27 03,SUPPORT_144,5/27/2022 3:00,160.353,160.52,160.074,160.288,6194,160.1551
2022-5-27 04,SUPPORT_144,5/27/2022 4:00,160.289,160.619,160.127,160.478,7616,160.1987
2022-5-27 09,SUPPORT_145,5/27/2022 9:00,160.322,160.345,160.135,160.271,5095,160.3125
2022-5-27 10,SUPPORT_145,5/27/2022 10:00,160.268,160.646,160.191,160.44,7925,160.3438
2022-5-27 13,SUPPORT_146,5/27/2022 13:00,160.159,160.315,159.969,160.035,4526,160.3146
2022-5-27 14,SUPPORT_146,5/27/2022 14:00,160.034,160.213,159.811,160.117,5619,160.2785
2022-5-27 23,SUPPORT_147,5/27/2022 23:00,160.54,160.576,160.45,160.484,1325,160.3712
2022-5-30 00,SUPPORT_147,5/30/2022 0:00,160.255,160.467,160.255,160.459,352,160.4054
2022-5-30 03,SUPPORT_148,5/30/2022 3:00,160.667,160.768,160.341,160.432,3630,160.4622
2022-5-30 04,SUPPORT_148,5/30/2022 4:00,160.431,160.665,160.327,160.561,4133,160.4839
