Date,Time,Open,High,Low,Close,Volume
2024.02.08,21:00:00,188.443,188.471,188.382,188.449,7125
2024.02.08,22:00:00,188.448,188.464,188.379,188.387,4280
2024.02.08,23:00:00,188.388,188.444,188.344,188.363,2720
2024.02.09,0:00:00,188.371,188.373,188.228,188.33,1514
2024.02.09,1:00:00,188.339,188.378,188.286,188.365,1759
2024.02.09,2:00:00,188.366,188.475,188.328,188.424,5599
2024.02.09,3:00:00,188.424,188.429,188.319,188.362,5316
2024.02.09,4:00:00,188.363,188.441,188.336,188.419,3493
2024.02.09,5:00:00,188.419,188.559,188.369,188.506,3439
2024.02.09,6:00:00,188.506,188.519,188.383,188.496,4292
2024.02.09,7:00:00,188.497,188.511,188.429,188.45,3277
2024.02.09,8:00:00,188.45,188.514,188.434,188.447,4025
2024.02.09,9:00:00,188.446,188.74,188.407,188.716,6477
2024.02.09,10:00:00,188.717,188.856,188.5,188.506,7549
2024.02.09,11:00:00,188.506,188.534,188.244,188.424,6931
2024.02.09,12:00:00,188.426,188.44,188.255,188.284,4866
2024.02.09,13:00:00,188.282,188.397,188.248,188.355,5418
2024.02.09,14:00:00,188.36,188.465,188.336,188.374,6537
2024.02.09,15:00:00,188.374,188.536,188.217,188.521,11390
2024.02.09,16:00:00,188.518,188.771,188.421,188.66,12151
2024.02.09,17:00:00,188.659,188.807,188.556,188.653,8964
2024.02.09,18:00:00,188.65,188.714,188.576,188.597,7650
2024.02.09,19:00:00,188.598,188.664,188.522,188.616,5548
2024.02.09,20:00:00,188.615,188.746,188.581,188.706,4824
2024.02.09,21:00:00,188.705,188.728,188.576,188.598,4320
2024.02.09,22:00:00,188.599,188.611,188.508,188.537,2066
2024.02.09,23:00:00,188.534,188.599,188.475,188.495,2398
2024.02.12,0:00:00,188.408,188.439,188.33,188.362,635
2024.02.12,1:00:00,188.361,188.538,188.294,188.499,3426
2024.02.12,2:00:00,188.499,188.584,188.467,188.492,4882
2024.02.12,3:00:00,188.491,188.534,188.463,188.495,3610
2024.02.12,4:00:00,188.496,188.516,188.416,188.438,3922
2024.02.12,5:00:00,188.438,188.471,188.39,188.467,3254
2024.02.12,6:00:00,188.468,188.528,188.422,188.436,3492
2024.02.12,7:00:00,188.436,188.483,188.394,188.432,4005
2024.02.12,8:00:00,188.43,188.457,188.387,188.451,4536
2024.02.12,9:00:00,188.45,188.631,188.396,188.545,5678
2024.02.12,10:00:00,188.545,188.57,188.193,188.248,9745
2024.02.12,11:00:00,188.249,188.358,188.153,188.204,6876
2024.02.12,12:00:00,188.205,188.284,188.046,188.125,5714
2024.02.12,13:00:00,188.125,188.168,187.938,187.993,6240
2024.02.12,14:00:00,187.994,188.014,187.845,187.923,7237
2024.02.12,15:00:00,187.923,188.158,187.909,188.125,7207
2024.02.12,16:00:00,188.126,188.489,188.124,188.461,7221
2024.02.12,17:00:00,188.461,188.584,188.434,188.535,5753
2024.02.12,18:00:00,188.535,188.702,188.521,188.627,6125
2024.02.12,19:00:00,188.628,188.677,188.545,188.643,5217
2024.02.12,20:00:00,188.644,188.712,188.576,188.576,5349
2024.02.12,21:00:00,188.569,188.639,188.551,188.61,5601
2024.02.12,22:00:00,188.61,188.624,188.543,188.579,3414
2024.02.12,23:00:00,188.581,188.601,188.546,188.589,2704
2024.02.13,0:00:00,188.574,188.586,188.47,188.53,951
2024.02.13,1:00:00,188.528,188.638,188.474,188.637,1857
2024.02.13,2:00:00,188.637,188.665,188.477,188.487,4630
2024.02.13,3:00:00,188.486,188.594,188.469,188.5,4988
2024.02.13,4:00:00,188.499,188.543,188.429,188.529,3024
2024.02.13,5:00:00,188.529,188.567,188.486,188.559,3374
2024.02.13,6:00:00,188.558,188.626,188.549,188.604,4017
2024.02.13,7:00:00,188.604,188.702,188.588,188.649,4073
2024.02.13,8:00:00,188.648,188.688,188.565,188.611,4981
2024.02.13,9:00:00,188.611,189.279,188.611,189.25,7576
2024.02.13,10:00:00,189.25,189.323,189.042,189.142,6592
2024.02.13,11:00:00,189.14,189.285,189.1,189.271,5349
2024.02.13,12:00:00,189.268,189.429,189.243,189.408,6234
2024.02.13,13:00:00,189.407,189.457,189.161,189.22,4937
2024.02.13,14:00:00,189.215,189.308,189.152,189.293,6944
2024.02.13,15:00:00,189.292,189.544,188.891,189.433,12049
2024.02.13,16:00:00,189.431,189.604,189.278,189.506,12568
2024.02.13,17:00:00,189.505,189.772,189.338,189.756,10896
2024.02.13,18:00:00,189.755,189.994,189.678,189.952,8120
2024.02.13,19:00:00,189.954,190.065,189.904,189.972,6681
2024.02.13,20:00:00,189.973,189.999,189.789,189.809,5198
