Datetimetry,Date,Time,Open,High,Low,Close,Volume,MA_10
2024.08.05 20,2024.08.05,20:00:00,183.578,184.312,183.558,184.179,2206,182.97
2024.08.05 21,2024.08.05,21:00:00,183.999,184.105,183.901,184.054,1298,183.21
2024.08.05 22,2024.08.05,22:00:00,183.996,185.078,183.442,184.947,2733,183.57
2024.08.05 23,2024.08.05,23:00:00,185.007,186.464,185.005,186.438,10639,183.97
2024.08.06 00,2024.08.06,0:00:00,186.437,187.095,185.354,185.687,13666,184.34
2024.08.06 01,2024.08.06,1:00:00,185.691,186.137,184.56,185.14,9060,184.48
2024.08.06 02,2024.08.06,2:00:00,185.145,185.795,184.457,185.739,7488,184.65
2024.08.06 03,2024.08.06,3:00:00,185.74,186.505,185.503,185.74,5879,184.85
2024.08.06 04,2024.08.06,4:00:00,185.739,186.054,185.419,185.858,5565,185.14
2024.08.06 05,2024.08.06,5:00:00,185.863,186.657,185.322,186.28,8951,185.41
2024.08.06 06,2024.08.06,6:00:00,186.276,186.699,185.411,185.754,9653,185.56
2024.08.06 07,2024.08.06,7:00:00,185.748,186.14,184.913,185.102,9495,185.67
2024.08.06 08,2024.08.06,8:00:00,185.097,185.185,184.012,184.51,8876,185.62
2024.08.06 09,2024.08.06,9:00:00,184.504,184.504,183.62,183.974,8215,185.38
2024.08.06 10,2024.08.06,10:00:00,183.97,184.332,183.462,183.831,7134,185.19
2024.08.06 11,2024.08.06,11:00:00,183.834,184.789,183.834,184.226,6329,185.10
2024.08.06 12,2024.08.06,12:00:00,184.22,184.314,183.127,183.338,8110,184.86
2024.08.06 13,2024.08.06,13:00:00,183.334,183.617,182.794,183.352,9562,184.62
2024.08.06 14,2024.08.06,14:00:00,183.347,184.431,183.163,183.602,8715,184.40
2024.08.06 15,2024.08.06,15:00:00,183.607,184.281,183.607,184.193,7007,184.19
2024.08.06 16,2024.08.06,16:00:00,184.195,184.774,184.048,184.681,4971,184.08
2024.08.06 17,2024.08.06,17:00:00,184.685,184.707,184.116,184.47,4067,184.02
2024.08.06 18,2024.08.06,18:00:00,184.476,184.514,184.101,184.101,3209,183.98
2024.08.06 19,2024.08.06,19:00:00,184.107,184.194,183.677,183.677,3900,183.95
2024.08.06 20,2024.08.06,20:00:00,183.667,183.769,182.946,183.161,2404,183.88
2024.08.06 21,2024.08.06,21:00:00,183.121,183.389,183.057,183.388,1196,183.80
2024.08.06 22,2024.08.06,22:00:00,183.371,183.654,183.074,183.422,2409,183.80
2024.08.06 23,2024.08.06,23:00:00,183.473,183.589,183.204,183.579,3523,183.83
2024.08.07 00,2024.08.07,0:00:00,183.585,184.385,183.38,183.838,6545,183.85
2024.08.07 01,2024.08.07,1:00:00,183.835,187.275,183.632,186.37,14176,184.07
2024.08.07 02,2024.08.07,2:00:00,186.373,186.696,185.852,186.586,9639,184.26
2024.08.07 03,2024.08.07,3:00:00,186.582,187.322,186.351,187.059,6631,184.52
2024.08.07 04,2024.08.07,4:00:00,187.065,188.078,187.037,187.524,6417,184.86
2024.08.07 05,2024.08.07,5:00:00,187.53,187.797,186.533,186.707,9764,185.16
2024.08.07 06,2024.08.07,6:00:00,186.699,186.907,185.969,186.347,8953,185.48
2024.08.07 07,2024.08.07,7:00:00,186.349,186.76,185.373,186.257,9024,185.77
2024.08.07 08,2024.08.07,8:00:00,186.261,187.061,186.148,186.966,6802,186.12
2024.08.07 09,2024.08.07,9:00:00,186.97,187.667,186.775,187.547,5744,186.52
2024.08.07 10,2024.08.07,10:00:00,187.541,187.588,186.88,187.155,4659,186.85
2024.08.07 11,2024.08.07,11:00:00,187.154,187.708,187.045,187.337,4628,186.95
2024.08.07 12,2024.08.07,12:00:00,187.34,187.384,186.861,186.995,5500,186.99
2024.08.07 13,2024.08.07,13:00:00,186.999,187.374,186.836,187.208,5680,187.00
2024.08.07 14,2024.08.07,14:00:00,187.206,187.509,186.38,187.343,5723,186.99
2024.08.07 15,2024.08.07,15:00:00,187.339,187.878,187.266,187.446,5430,187.06
2024.08.07 16,2024.08.07,16:00:00,187.442,187.497,186.838,187.018,4660,187.13
2024.08.07 17,2024.08.07,17:00:00,187.016,187.258,186.561,186.657,4989,187.17
2024.08.07 18,2024.08.07,18:00:00,186.654,186.654,186.194,186.247,5321,187.10
2024.08.07 19,2024.08.07,19:00:00,186.255,186.866,186.249,186.325,4548,186.97
