Zone_ID,DATETIME,OPEN,HIGH,LOW,CLOSE,Zone_Type,MA_10,Crossover_Trigger,Retest_Performance,Crossover_Trigger,Retest_Performance,"Distance-to-SMA""",Reversal pattern,Direction of Closed Price,
14,1/6/2026 17:00,211.464,211.481,211.368,211.462,Resistance,211.4804,No Cross,? Resistance Retested,,,Below MA10,?? Shooting Star,Downwards,Decreasing
14,1/6/2026 17:00,211.462,211.511,211.38,211.485,Resistance,211.4877,No Cross,? Resistance Retested,,,Below MA10,?? Bearish Harami,Upwards,Increasing
14,1/6/2026 18:00,211.485,211.525,211.428,211.468,Resistance,211.4938,No Cross,? Resistance Retested,,,Below MA10,?? Shooting Star,Downwards,Decreasing
14,1/6/2026 18:00,211.468,211.542,211.443,211.51,Resistance,211.4987,No Cross,No Retest,,,Above MA10,?? Shooting Star,Upwards,Increasing
14,1/6/2026 18:00,211.508,211.513,211.408,211.447,Resistance,211.4968,?? BEARISH CROSS,? Resistance Retested,,,Below MA10,?? Shooting Star,Downwards,Increasing
14,1/6/2026 18:00,211.446,211.515,211.419,211.459,Resistance,211.4989,No Cross,? Resistance Retested,,,Below MA10,?? Shooting Star,Upwards,Decreasing
14,1/6/2026 19:00,211.457,211.573,211.444,211.549,Resistance,211.4973,No Cross,No Retest,,,Above MA10,?? Shooting Star,Upwards,Increasing
14,1/6/2026 19:00,211.548,211.633,211.517,211.629,Resistance,211.5069,No Cross,No Retest,,,Above MA10,?? Shooting Star,Upwards,Decreasing
14,1/6/2026 19:00,211.63,211.677,211.615,211.676,Resistance,211.5149,No Cross,No Retest,,,Above MA10,?? Shooting Star,Upwards,Decreasing
14,1/6/2026 19:00,211.674,211.715,211.646,211.682,Resistance,211.5367,No Cross,No Retest,,,Above MA10,?? Bearish Engulfing,Upwards,Decreasing
14,1/6/2026 20:00,211.682,211.734,211.63,211.652,Resistance,211.5557,No Cross,No Retest,,,Above MA10,?? Shooting Star,Downwards,Increasing
14,1/6/2026 20:00,211.654,211.678,211.595,211.654,Resistance,211.5726,No Cross,No Retest,,,Above MA10,?? Shooting Star,Upwards,Decreasing
14,1/6/2026 20:00,211.652,211.66,211.575,211.616,Resistance,211.5874,No Cross,No Retest,,,Above MA10,?? Shooting Star,Downwards,Increasing
14,1/6/2026 20:00,211.616,211.644,211.557,211.56,Resistance,211.5924,?? BEARISH CROSS,? Resistance Retested,,,Below MA10,Normal,Downwards,Increasing
14,1/6/2026 21:00,211.559,211.57,211.445,211.469,Resistance,211.5946,No Cross,No Retest,,,Below MA10,?? Shooting Star,Downwards,Increasing
14,1/6/2026 21:00,211.469,211.476,211.422,211.431,Resistance,211.5918,No Cross,No Retest,,,Below MA10,?? Shooting Star,Downwards,Decreasing
14,1/6/2026 21:00,211.429,211.467,211.416,211.463,Resistance,211.5832,No Cross,No Retest,,,Below MA10,?? Bearish Harami,Upwards,Decreasing
14,1/6/2026 21:00,211.462,211.484,211.421,211.45,Resistance,211.5653,No Cross,No Retest,,,Below MA10,?? Shooting Star,Downwards,Decreasing
14,1/6/2026 22:00,211.45,211.458,211.406,211.425,Resistance,211.5402,No Cross,No Retest,,,Below MA10,?? Shooting Star,Downwards,Increasing
14,1/6/2026 22:00,211.426,211.47,211.425,211.437,Resistance,211.5157,No Cross,No Retest,,,Below MA10,?? Shooting Star,Upwards,Decreasing
14,1/6/2026 22:00,211.438,211.48,211.437,211.447,Resistance,211.4952,No Cross,No Retest,,,Below MA10,?? Shooting Star,Upwards,Decreasing
