Datetimetry,Zone_ID,Datetime,Open,High,Low,Close,Volume,MA_10
2022-11-16 00,RESISTANCE_542,2022-11-16 00:00:00,165.13,165.255,165.078,165.178,3041,165.4139
2022-11-16 05,RESISTANCE_543,2022-11-16 05:00:00,166.082,166.245,165.921,166.084,8149,165.3276
2022-11-16 06,RESISTANCE_543,2022-11-16 06:00:00,166.082,166.104,165.766,165.785,7684,165.4259
2022-11-16 08,RESISTANCE_544,2022-11-16 08:00:00,165.843,166.154,165.744,165.901,7096,165.5785
2022-11-16 09,RESISTANCE_544,2022-11-16 09:00:00,165.929,166.194,165.52,165.749,11823,165.629
2022-11-16 12,RESISTANCE_545,2022-11-16 12:00:00,165.816,166.333,165.791,166.187,10568,165.8877
2022-11-16 13,RESISTANCE_545,2022-11-16 13:00:00,166.189,166.204,165.831,165.948,9445,165.9345
2022-11-16 14,RESISTANCE_546,2022-11-16 14:00:00,165.948,166.082,165.79,166.046,10478,165.9308
2022-11-16 15,RESISTANCE_546,2022-11-16 15:00:00,166.046,166.385,165.795,165.943,12853,165.9167
2022-11-16 18,RESISTANCE_547,2022-11-16 18:00:00,165.707,166.02,165.535,165.945,10510,165.8506
2022-11-16 19,RESISTANCE_547,2022-11-16 19:00:00,165.946,165.985,165.803,165.828,8805,165.8585
2022-11-16 23,RESISTANCE_548,2022-11-16 23:00:00,166.148,166.309,166.106,166.272,4705,165.8999
2022-11-17 00,RESISTANCE_548,2022-11-17 00:00:00,166.043,166.257,166.043,166.115,4069,165.9068
2022-11-17 10,RESISTANCE_549,2022-11-17 10:00:00,166.269,166.312,165.996,166.244,11193,165.9834
2022-11-17 11,RESISTANCE_549,2022-11-17 11:00:00,166.245,166.321,165.738,165.955,10216,165.9803
2022-11-18 02,RESISTANCE_550,2022-11-18 02:00:00,166.52,166.832,166.479,166.81,6691,166.223
2022-11-18 03,RESISTANCE_550,2022-11-18 03:00:00,166.81,166.835,166.481,166.492,7643,166.3142
2022-11-18 10,RESISTANCE_551,2022-11-18 10:00:00,166.64,166.998,166.456,166.927,11828,166.5542
2022-11-18 11,RESISTANCE_551,2022-11-18 11:00:00,166.928,167.315,166.783,166.922,11207,166.5943
2022-11-18 13,RESISTANCE_552,2022-11-18 13:00:00,166.481,166.62,166.39,166.572,9005,166.5686
2022-11-18 14,RESISTANCE_552,2022-11-18 14:00:00,166.57,166.964,166.504,166.561,8675,166.577
2022-11-18 17,RESISTANCE_553,2022-11-18 17:00:00,166.33,166.943,166.213,166.86,11177,166.6325
2022-11-18 18,RESISTANCE_553,2022-11-18 18:00:00,166.855,166.896,166.597,166.641,9269,166.6545
2022-11-18 23,RESISTANCE_554,2022-11-18 23:00:00,166.839,166.87,166.743,166.795,3136,166.6876
2022-11-21 00,RESISTANCE_554,2022-11-21 00:00:00,167.004,167.004,166.748,166.825,1235,166.714
2022-11-21 14,RESISTANCE_555,2022-11-21 14:00:00,167.537,167.625,167.365,167.604,9666,166.8459
2022-11-21 15,RESISTANCE_555,2022-11-21 15:00:00,167.603,167.663,167.182,167.216,9784,166.9291
2022-11-22 02,RESISTANCE_556,2022-11-22 02:00:00,168.033,168.295,168.013,168.143,8389,167.8085
2022-11-22 03,RESISTANCE_556,2022-11-22 03:00:00,168.143,168.205,168.073,168.097,6590,167.8905
2022-11-22 09,RESISTANCE_557,2022-11-22 09:00:00,167.983,168.086,167.865,168.002,7549,168.0326
2022-11-22 10,RESISTANCE_557,2022-11-22 10:00:00,168.01,168.095,167.601,167.691,11374,168.0065
2022-11-22 15,RESISTANCE_558,2022-11-22 15:00:00,167.929,168.191,167.874,168.01,9987,167.8471
2022-11-22 16,RESISTANCE_558,2022-11-22 16:00:00,168.009,168.044,167.735,167.797,11281,167.8288
2022-11-22 22,RESISTANCE_559,2022-11-22 22:00:00,167.787,167.914,167.781,167.89,4924,167.8518
2022-11-22 23,RESISTANCE_559,2022-11-22 23:00:00,167.888,167.946,167.783,167.845,3080,167.8712
2022-11-23 03,RESISTANCE_560,2022-11-23 03:00:00,167.814,167.998,167.796,167.969,7471,167.85
