Zone_ID,Datetimetry,Datetime,Open,High,Low,Close,Volume,MA_10
RESISTANCE_926,2024-12-20 07,2024-12-20 07:00:00,196.32,196.34,195.945,196.079,4559,196.4109
RESISTANCE_927,2024-12-20 18,2024-12-20 18:00:00,196.691,196.758,196.552,196.578,3209,196.3067
RESISTANCE_927,2024-12-20 19,2024-12-20 19:00:00,196.574,196.786,196.486,196.535,3090,196.3666
RESISTANCE_928,2024-12-23 02,2024-12-23 02:00:00,196.811,197.02,196.705,197.008,2943,196.6317
RESISTANCE_928,2024-12-23 03,2024-12-23 03:00:00,197.009,197.072,196.824,196.841,2050,196.69
RESISTANCE_929,2024-12-23 09,2024-12-23 09:00:00,196.853,197.061,196.765,196.928,3767,196.8947
RESISTANCE_929,2024-12-23 10,2024-12-23 10:00:00,196.924,196.964,196.591,196.707,3275,196.8789
RESISTANCE_930,2024-12-23 13,2024-12-23 13:00:00,196.777,196.938,196.769,196.886,3758,196.8345
RESISTANCE_930,2024-12-23 14,2024-12-23 14:00:00,196.882,197.028,196.666,196.87,4036,196.825
RESISTANCE_931,2024-12-23 21,2024-12-23 21:00:00,196.926,197.006,196.853,196.97,1369,196.83
RESISTANCE_931,2024-12-23 22,2024-12-23 22:00:00,196.878,196.954,196.725,196.904,1170,196.8423
RESISTANCE_932,2024-12-24 00,2024-12-24 00:00:00,196.895,197.056,196.86,196.984,2834,196.8519
RESISTANCE_932,2024-12-24 01,2024-12-24 01:00:00,196.988,196.992,196.716,196.815,2605,196.8665
RESISTANCE_933,2024-12-24 07,2024-12-24 07:00:00,196.795,196.837,196.725,196.828,2428,196.8312
RESISTANCE_933,2024-12-24 08,2024-12-24 08:00:00,196.829,196.908,196.723,196.775,2782,196.8183
RESISTANCE_934,2024-12-24 14,2024-12-24 14:00:00,197.415,197.623,197.353,197.49,3105,196.9663
RESISTANCE_934,2024-12-24 15,2024-12-24 15:00:00,197.493,197.547,197.092,197.196,3160,197.0116
RESISTANCE_935,2024-12-26 03,2024-12-26 03:00:00,197.451,197.503,197.377,197.431,1618,197.1457
RESISTANCE_935,2024-12-26 04,2024-12-26 04:00:00,197.426,197.556,197.368,197.373,1601,197.1777
RESISTANCE_936,2024-12-26 18,2024-12-26 18:00:00,197.787,198.007,197.772,197.793,2820,197.5786
RESISTANCE_936,2024-12-26 19,2024-12-26 19:00:00,197.788,197.939,197.752,197.874,2274,197.6385
RESISTANCE_937,2024-12-27 00,2024-12-27 00:00:00,197.636,197.856,197.488,197.823,3139,197.8004
RESISTANCE_937,2024-12-27 01,2024-12-27 01:00:00,197.824,197.864,197.506,197.524,2954,197.7782
RESISTANCE_938,2024-12-27 07,2024-12-27 07:00:00,197.567,197.796,197.503,197.747,2766,197.5603
RESISTANCE_938,2024-12-27 08,2024-12-27 08:00:00,197.742,197.817,197.631,197.679,3266,197.5538
RESISTANCE_939,2024-12-27 13,2024-12-27 13:00:00,198.076,198.391,198.033,198.389,3145,197.7317
RESISTANCE_939,2024-12-27 14,2024-12-27 14:00:00,198.393,198.496,198.087,198.356,3743,197.8358
