Zone_ID,Datetimetry,Datetime,Open,High,Low,Close,Volume,MA_10
731,2025-04-11 08,4/11/2025 8:00,186.616,186.836,186.247,186.699,5381,186.8895
731,2025-04-11 08,4/11/2025 8:15,186.694,186.796,186.285,186.643,3474,186.875
731,2025-04-11 08,4/11/2025 8:30,186.65,186.782,186.441,186.612,3281,186.8445
731,2025-04-11 08,4/11/2025 8:45,186.616,186.746,186.502,186.674,3311,186.8119
731,2025-04-11 09,4/11/2025 9:00,186.67,186.785,186.557,186.589,2940,186.7497
731,2025-04-11 09,4/11/2025 9:15,186.593,186.678,186.285,186.308,2642,186.6496
731,2025-04-11 09,4/11/2025 9:30,186.302,186.772,186.164,186.772,2450,186.6437
731,2025-04-11 09,4/11/2025 9:45,186.764,187.061,186.664,187.01,3591,186.6848
732,2025-04-14 01,4/14/2025 1:00,187.163,187.307,186.905,187.035,1840,187.7365
732,2025-04-14 01,4/14/2025 1:15,187.032,187.057,186.578,186.773,1990,187.6315
732,2025-04-14 01,4/14/2025 1:30,186.768,186.95,186.739,186.906,2140,187.5254
732,2025-04-14 01,4/14/2025 1:45,186.904,187.017,186.828,186.994,1586,187.4094
732,2025-04-14 02,4/14/2025 2:00,186.999,187.096,186.937,187.081,1435,187.3111
732,2025-04-14 02,4/14/2025 2:15,187.086,187.323,187.086,187.219,1203,187.2324
732,2025-04-14 02,4/14/2025 2:30,187.218,187.32,187.124,187.32,1272,187.1718
732,2025-04-14 02,4/14/2025 2:45,187.322,187.395,187.228,187.362,1150,187.1436
733,2025-04-14 06,4/14/2025 6:00,187.381,187.576,187.264,187.446,1811,187.4872
733,2025-04-14 06,4/14/2025 6:15,187.45,187.512,187.307,187.437,1724,187.4862
733,2025-04-14 06,4/14/2025 6:30,187.441,187.568,187.35,187.507,1678,187.4882
733,2025-04-14 06,4/14/2025 6:45,187.513,187.705,187.419,187.543,1850,187.4885
733,2025-04-14 07,4/14/2025 7:00,187.537,187.666,187.189,187.525,2357,187.4902
733,2025-04-14 07,4/14/2025 7:15,187.529,187.826,187.467,187.792,1688,187.5256
733,2025-04-14 07,4/14/2025 7:30,187.793,188.038,187.613,188.036,1522,187.5687
733,2025-04-14 07,4/14/2025 7:45,188.03,188.383,187.996,188.361,1431,187.6591
734,2025-04-14 15,4/14/2025 15:00,188.95,188.991,188.698,188.758,1667,188.9212
734,2025-04-14 15,4/14/2025 15:15,188.752,188.85,188.488,188.513,1491,188.8908
734,2025-04-14 15,4/14/2025 15:30,188.52,188.687,188.376,188.658,1590,188.8716
734,2025-04-14 15,4/14/2025 15:45,188.661,188.661,188.324,188.346,1625,188.814
734,2025-04-14 16,4/14/2025 16:00,188.34,188.411,188.135,188.288,1742,188.734
734,2025-04-14 16,4/14/2025 16:15,188.284,188.539,188.265,188.412,1712,188.6768
734,2025-04-14 16,4/14/2025 16:30,188.406,188.628,188.382,188.618,1404,188.6482
734,2025-04-14 16,4/14/2025 16:45,188.623,188.654,188.516,188.561,1334,188.613
735,2025-04-14 21,4/14/2025 21:00,188.562,188.609,188.506,188.558,140,188.6457
735,2025-04-14 21,4/14/2025 21:15,188.559,188.573,188.425,188.425,156,188.632
